Product_id,title,uid,Auction_type,State,Category
-LKsOIj0NnD3IWOrAQL4,Steve Harvey Bi-fold wallet ,OK2ixLbRqpWkZw0JoJDnKuuq0ot2,buy-it-now,TN,Accessories
-LCXJpVSM-W427NvPxvg,Dead Calm (The Coastal Suspens,d2uUSTbAibdkPAvMTQvThiPl27B2,reserve,TX,Books
-LQ5WlXNXJS9N3ESDBZY,4 tires.225 65 16,j8CxUEV5yFdH9sgw26VoCjkVbAx1,buy-it-now,IA,Cars and Accessories
-LMHppF1g4jA-lXlebIV,Mac high,Exw64Bg7fkMdkJO54FrY2jZ1RyG2,buy-it-now,DC,Computers and Accessories
-LQTqJ7t4_mtTXzo4gfc,Car stereo ,UH7yNBSDZXbLnCSTcGyQYdWSlxZ2,buy-it-now,CA,Electronics
-LIvIkj6-xBMNGlZY2dx," Crafsman , snap on , sk",KxhNP0MnPXYcej5cEV3K6ibZA6W2,buy-it-now,CA,Tools
-LL3dXlbcEC85VDipKhk,Dont bid sorry sold,mGcCCbBV18WDidUh9Yi0dChTkMe2,non-reserve,IN,Makeup and Beauty
-LFFJ-yXo-aGPT4NaNpk,Collector's choice porcelain d,PDyPcx9VsAOkBBRckNjIFyq2BMs2,non-reserve,LA,Collectible Toys
-LJz6q8wwiz44Z6vDGGr,Davids bridal dress size 24w,GaILP3m1L7N8Aj4Jo3vybN9YJFo2,buy-it-now,TN,Wedding
-LEJkPb5eUb4JBNaDbi8,Quick Books Accounting ,ufgEomCDGGOK4nBltaWTCibR7432,buy-it-now,MD,CDs and DVDs
-LB-Hl_RqWweLzjxzh2p,Watch ,rJ9AT3uIaMet3JvsfIkIMvjsIEi1,buy-it-now,TX,Watches
-LNXqM11ArrsTuHLMs-F,Blue j2 cell phone,f8pJHu5eCeTrThDS6GrkpQ5oN0B2,buy-it-now,CA,Electronics
-LOwUkCV43XKCkUrxQRj,Cccccc,duC7SCxE38YrJr5kOsWOaZj2Bfg1,buy-it-now,DC,Bags
-LNT8KevupPdj5w1ppdQ,9 Drawer Lowboy Dresser set,ZFHIntJ4jNf7OliVjbY5AUxS4WH3,buy-it-now,CA,Furniture
-LASSyMah7tFDoHb_6JK,Rings ,6gZnqnwqQRa6qnJU73brXIedVi93,buy-it-now,TX,Jewelry
-LBQhi5KJuzFoVyiLkq1,Fashion ,XahVIB0AgEXtalOUeoZhJLEjy9G3,non-reserve,TX,Fashion
-LPIuZjNan94w5HyJrix,Texas Rangers gear ,3srlF1yq8PZT6ZaVDCh3OfDWU6N2,buy-it-now,TX,Clothing
-LK83F7XLgcH7FNz_pcP,Calvin klein euphoria ,nL4A1ymnbvVVepcseyEVfqNxuSo2,buy-it-now,TN,Makeup and Beauty
-LRFK6JQkTCCeILkPgK6,Juicer ,aD2PCzalryR9t76qLOICIMd5I2T2,buy-it-now,NY,Household Appliances
-LK7b7nUlot39cg9vI0x,Nicki Minaj pink Friday watch,k4kLegJxxaXCBZUyqDkYQ1fauGs2,buy-it-now,PA,Watches
-LBUoPLA_TmmlsFWFPm3,Fashion ,oOMUohcSoMd9VjoKzjc4RiVdi2S2,buy-it-now,TX,Fashion
-LPJN3u8adA-tnD_SuSf,Mini fridge ,tkT8z9XGINVMdj4GCKeBkKMXKQE2,buy-it-now,AR,Household Appliances
-LPO_KAnkaI5jdCrCuVO,Voxwagon 4 sale,xzY8HT6DLEPjayT6huSmKe5b9Rs2,buy-it-now,PA,Cars and Accessories
-LPU6KAijyp-EfYHYOXm,Motorcycle boots,cXdrOxUh5jUrNYYN0TGS16x379n2,buy-it-now,CA,Shoes
-LDu6_CWfsUX3-l_K1Sv,Moses Basket,bo9ft08n6LXWJOMNuMXEJMqEeUC3,reserve,MS,Furniture
-LKME2KWOO9QVD11eq1Q,Vintage rare. Bottle,qYOjxR4hORT88GC8MYAVNae2Xqz1,reserve,WV,Antiques
-LQplSgrqBj8mLw4Ls1b,Yorkshire terrier puppies,Q5vHHdLiHUTMlXQ1ZQP0QVjrEkL2,buy-it-now,NY,Cars and Accessories
-LM0MEnHIRw17hvP0VVy,Basketball goal,3MtqPCcPiqg8IT0dzlg4YFYx9eD2,buy-it-now,TX,Others
-LQCNaQzObK0zQYZUFUs,"32"" Flat Screen T.V ",0tXrexRfFWTeU79PNE8dnkgGWJa2,buy-it-now,KY,Electronics
-LAqwgP4VgGgyP3dO9YN,Floor ,zqBB4KkES4gZAaF3F3vg54THSwc2,non-reserve,TX,Home Decor
-LBZev-Y-y-C1FDpG6cl,Bathtubs Aquatica Bath Headres,wArdx3zpSlZQ27tavBPGSKpKVU22,non-reserve,TX,Home Decor
-LLkvD1TfhizGOUg5ZHW,IPhone 8 plus red,uBkeYDJ6VUe98SgSNrAZxS63xJ12,buy-it-now,PA,Electronics
-LM7vtQY9EgRnpFFyoyL,Brown Jordan Charles Pfister,02G7FwFBY2O8CZGWVM4DCSNYlw63,non-reserve,NM,Home and Garden
-LL-9-0zlOomLFXLerh_,Apple Ipad,XNHOGAggbabMSgFd2GjwGORRsMW2,reserve,NY,Phone and Tablets
-LQC6Ov26p-Rf79XPfXd,Sexy black high heeled booties,mibJNxwgwUfVMRMVCdjS93xKOAx2,buy-it-now,NY,Shoes
-LGyqUlO5d1CA2Kjoxiw,Mint 1984 coin set,7CEZdVfENmZdjpAMpgUho1p4a163,buy-it-now,CA,Others
-LGGYjpornLNiXZMiO_j,Women pants ,5geaO7wllzUZN7zbMwbracZtU192,buy-it-now,TN,Clothing
-LNfeoLqcsupdFS7m6Bs,6 piece bed set,0XGb5Xc4DRN3kf7QPI868ImYWmi2,non-reserve,AZ,Furniture
-LHXWwhstYuu9XsDEwkx,Assistant Engineer,PHcQkyHxTGOzTMEHdREzqYsHc7V2,buy-it-now,NY,Jobs
-LLKr2p2UEs03X_dhWFK,ZDS ,nUMZ78KBHsakks7uazgQ0O3wuq23,non-reserve,NY,Cars and Accessories
-LKpiLZrDUHTo_I6hRZK,2018 DODGE CHARGER R/T SALVAGE,9cQG0PwmUOfgPDowTOH7mscigLD3,buy-it-now,LA,Cars and Accessories
-LNcEgm_Q-2WBXihaQEX,Camera cables,T6UY4yCSb8gZ8kgLxxjaq6cV30H3,buy-it-now,TX,Electronics
-LI0vUpqY6NDEXP4Knkq,Goggles and flippers,zi8Fr5P6SOQoPcimK4wTRI1bq7J2,buy-it-now,SC,Sports Equipment
-LJx4EeY3vWJ-IGVPOak,Trim. Coil new box,JMlmltSsl4ZEDOa2yzPfAC03Gq93,buy-it-now,OH,Home and Garden
-LOMTkA3HUS1bpn2WgTg,IPhone x s max 512 GB! ,MkDqU6sqCZTsMpghh7oAxqvKOsZ2,buy-it-now,CA,Electronics
-LO9ufK0mHjVM4-9Y6lc,700 series schwinn limited edi,2n9mL8i6pVfvXFMDkAa6oAxFZeq1,buy-it-now,AZ,Accessories
-LAqcguEUA9gGy5wTKQm,Sports equipment ,zqBB4KkES4gZAaF3F3vg54THSwc2,buy-it-now,TX,Sports Equipment
-L2Po-QinmBX3EQk4tmv,Samsung galaxy s5,mDMF9YeyEsTwmeMeGtUXF5q5Ksw1,buy-it-now,WI,Accessories
-LBQOFm3cIvozgtIV_J9,Fashion ,OYMYOmkxGHcR9YXO72BVgRnRR143,non-reserve,TX,Fashion
-LOlMbUGaD5bBAoKedDM,Rice cooker ,VFqVYdD500gHrfIuPDEFOaiAxX52,buy-it-now,NV,Household Appliances
-LBaJ6J3_VN861PjQhlv,My Little Pony Trixie,isMrLrnFMhd3DzkVtnYIbUWFWYP2,non-reserve,TX,Collectible Toys
-LG86g7G-TU5bg0v_Y-b,Dog Doberman ,EQOCQGYEfWNG3dGoDccQPHDpxm82,buy-it-now,AZ,Pet Accessories
-LREA9btVp2wrTwgF0G3,Beenie babys turkey ,CpjUPygpI5hHoQN3UdgnTyruix72,buy-it-now,PA,Antiques
-LPBcd4IsIKivll9LhBK,Air pump for cars bikes etc ,YIHEUMusT7bq9n3tduMUKBo5sVx1,buy-it-now,CT,Cars and Accessories
-LGnQUN4mzI-VoG5_TcN,Ghd platinum flat iron,U13V6YcKwKPuSA8qwZdDvAbQii43,reserve,OR,Makeup and Beauty
-LPYyKBa1hgMmU6MWV6-,Speakers size 12 fosgate,cXdrOxUh5jUrNYYN0TGS16x379n2,non-reserve,CA,Electronics
-LNVZNCMPOfDyRvackF4,Car audio,BXK1Hq0wrcQSH2bE0w07WdZbunT2,buy-it-now,NC,Electronics
-LNgVKs2kTXGqYe_CMfd,KIA/HYUNDAI ROTORS,L5Lc4SAZgkeeezqfy8hdXvCQUsg1,buy-it-now,IL,Cars and Accessories
-LJUA1qKUWrr6qYyRpbr,82 Inch Samsung smart tv ,2L94UClkEDO1VlSMbnrs4SHfcd52,non-reserve,MD,Electronics
-LOn8r0iWreGG47KwXsO,ADJUSTABLE BASE WITH REMOTE,KrNg9PBaaqee71zeEhvI0lwnMC52,non-reserve,NV,Furniture
-LKlp2Lujo5U4C6q4xvx,Pretty Ring!,gFOTkiX8sWO71Z9Zss46afvNR1t1,buy-it-now,FL,Jewelry
-LQQHLuxWNaKlVQus-Bd,Nineteen seventy five D nickel,WjEHgE4tR5RPSBayMWrHvNoiY1l2,buy-it-now,MD,Antiques
-LPcjY2t_ZV3c8eC-wVe,One of a kind blue agate earrings,g6C6EgktaMXDIjngkPStWH6fC793,buy-it-now,OH,Jewelry
-LQ4ltdxz5YAJYLW5d-7,HOVER BALL,f3lt81yI1yWnmTG9AbzxB62i19Q2,buy-it-now,TX,Kids Toys
-LKOVAtU_nt7ssJjqtbA,Oil Holder: holds 92 bottles,dwdxbny0YXY5oGfwtEEY6eH7t9m2,buy-it-now,TX,Makeup and Beauty
-LB6Fip6vn-3tqWXKawx,Sports equipment ,wqNuuJzddmeuAHZbHD71kZAUGZi1,buy-it-now,TX,Sports Equipment
-LOe5wbmdBBxAd_LH1vm,Shoes (vans) ,SAC7adEESdUnPuJZOvw6SDwilUj1,non-reserve,FL,Shoes
-LDAfYSA93DhsNYZzegP,Tascam da-88 DTRS Digital ,M5uwAVZguqNMh9X1ilwpg9N1MKQ2,reserve,VT,Musical Equipments
-LDswNP3Nly9WBKB_VKe,Automatic Wine opener ,T2vIwf8kkCPZaWneT2pXmhwJTqB2,non-reserve,FL,Home and Garden
-LCzW4aacCr4vAoM1wCx,Collection of books  any age!,EoWsCzTa4lTxb7cxxDqkSIdrx9v2,buy-it-now,OH,Books
